* T-Spice 13.00 Simulation	Sun May 05 15:47:23 2019	C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\DLL_TDC_deneme2.sp
* Command line: tspice -o "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\DLL_TDC_deneme2.out" "C:\Users\makif\Google Drive\TEZ ÇALIÞMAM\çizim\Counter_TDC\Counter_TDC\DLL_TDC_deneme2.sp" 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 8
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 381               MOSFET geometries - 8       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 3                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 83      
*   Independent nodes - 1710                 Boundary nodes - 4       
*         Total nodes - 1714    


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   1e-012   1e-008
TRANSIENT ANALYSIS
Time<s>        v(Stop,Gnd)<V>  v(Start,Gnd)<V>  v(T2,Gnd)<V>  v(T3,Gnd)<V>  v(T4,Gnd)<V>  v(T5,Gnd)<V>  v(T6,Gnd)<V>  v(T7,Gnd)<V>  v(D0,Gnd)<V>  v(D1,Gnd)<V>  v(D2,Gnd)<V>
 0.000000e+000  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 6.250000e-014  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 6.875000e-013  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 2.687500e-012  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 4.687500e-012  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 6.687500e-012  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 8.687500e-012  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 1.068750e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 1.268750e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 1.468750e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 1.668750e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 1.868749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 2.068749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 2.268749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 2.468749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 2.668749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 2.868749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 3.068749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 3.268749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 3.468749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 3.668749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 3.868749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 4.068749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
 4.268749e-011  0.0000e+000  0.0000e+000  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  3.5559e-004  2.8801e-004  9.9688e-001  9.9688e-001  9.9688e-001
